"Date","Price","Open","High","Low","Change %"
"Mar 08, 1996","4.7232","4.6756","4.7529","4.6570","0.99%"
"Mar 07, 1996","4.6770","4.7029","4.7327","4.6516","-0.40%"
"Mar 06, 1996","4.6957","4.6697","4.7017","4.6474","0.46%"
"Mar 05, 1996","4.6741","4.6847","4.7359","4.6378","-0.31%"
"Mar 04, 1996","4.6886","4.6767","4.6910","4.6393","0.03%"
"Mar 01, 1996","4.6871","4.6782","4.7219","4.6549","0.15%"
"Feb 29, 1996","4.6803","4.6431","4.6806","4.6246","0.83%"
"Feb 28, 1996","4.6420","4.6047","4.6496","4.5976","0.67%"
"Feb 27, 1996","4.6113","4.6124","4.6246","4.5775","-0.08%"
"Feb 26, 1996","4.6149","4.5942","4.6247","4.5594","0.45%"
"Feb 23, 1996","4.5940","4.6014","4.6349","4.5707","-0.28%"
"Feb 22, 1996","4.6069","4.6018","4.6387","4.5785","0.12%"
"Feb 21, 1996","4.6015","4.5804","4.6257","4.5718","0.45%"
"Feb 20, 1996","4.5807","4.5636","4.6194","4.5509","0.32%"
"Feb 19, 1996","4.5659","4.6076","4.6392","4.5536","-0.77%"
"Feb 16, 1996","4.6013","4.6384","4.6700","4.5792","-0.92%"
"Feb 15, 1996","4.6441","4.6327","4.6940","4.6105","0.04%"
"Feb 14, 1996","4.6422","4.6834","4.6974","4.6322","-1.01%"
"Feb 13, 1996","4.6894","4.6977","4.7109","4.6542","-0.26%"
"Feb 12, 1996","4.7014","4.6980","4.7101","4.6525","-0.01%"
"Feb 09, 1996","4.7020","4.6915","4.7136","4.6496","0.07%"
"Feb 08, 1996","4.6987","4.7102","4.7344","4.6603","-0.34%"
"Feb 07, 1996","4.7145","4.6774","4.7270","4.6712","0.65%"
"Feb 06, 1996","4.6839","4.6495","4.6896","4.6429","0.68%"
"Feb 05, 1996","4.6524","4.7023","4.7281","4.6337","-1.12%"
"Feb 02, 1996","4.7052","4.7243","4.7414","4.6725","-0.50%"
"Feb 01, 1996","4.7289","4.7350","4.7519","4.6849","-0.32%"
"Jan 31, 1996","4.7441","4.7360","4.7546","4.6969","0.12%"
"Jan 30, 1996","4.7385","4.7079","4.7533","4.6971","0.50%"
"Jan 29, 1996","4.7151","4.7246","4.7477","4.6777","-0.32%"
"Jan 26, 1996","4.7302","4.7263","4.7477","4.6877","0.13%"
"Jan 25, 1996","4.7239","4.7302","4.7513","4.6900","-0.31%"
"Jan 24, 1996","4.7384","4.7343","4.7743","4.7051","-0.00%"
"Jan 23, 1996","4.7386","4.7147","4.7485","4.6865","0.33%"
"Jan 22, 1996","4.7230","4.7378","4.7690","4.6964","-0.39%"
"Jan 19, 1996","4.7416","4.7285","4.7637","4.7157","0.21%"
"Jan 18, 1996","4.7318","4.7259","4.7473","4.6904","0.14%"
"Jan 17, 1996","4.7250","4.6912","4.7283","4.6330","0.80%"
"Jan 16, 1996","4.6874","4.6590","4.6990","4.6393","0.55%"
"Jan 15, 1996","4.6619","4.6567","4.6650","4.6171","0.31%"
"Jan 12, 1996","4.6475","4.6518","4.6745","4.5990","-0.14%"
"Jan 11, 1996","4.6542","4.6308","4.6585","4.6199","0.40%"
"Jan 10, 1996","4.6358","4.6410","4.6673","4.6011","-0.37%"
"Jan 09, 1996","4.6528","4.6473","4.6795","4.6399","0.05%"
"Jan 08, 1996","4.6503","4.6880","4.7094","4.6432","-0.56%"
"Jan 05, 1996","4.6767","4.6842","4.7225","4.6244","-0.13%"
"Jan 04, 1996","4.6827","4.7045","4.7480","4.6656","-0.51%"
"Jan 03, 1996","4.7068","4.6741","4.7136","4.6501","0.67%"
"Jan 02, 1996","4.6756","4.6364","4.6791","4.6160","0.55%"
"Dec 29, 1995","4.6501","4.6669","4.6800","4.6165","-0.45%"
"Dec 28, 1995","4.6709","4.6619","4.7021","4.6095","0.14%"
